Name,Country,Region,Winery,Rating,Price,Year
Pinot Bianco - Pinot Nero 2017,Italy,Veneto,Biscardo,3.6,7.2,2017
Escherndorfer Lump Riesling S. 2018,Germany,Franken,Horst Sauer,3.9,18.0,2018
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4.0,7.31,2019
Bentrock Chardonnay 2013,United States,Sta. Rita Hills,Sandhi,4.1,89.0,2013
Le Naturel Blanco 2019,Spain,Navarra,Aroa,3.9,12.95,2019
Bourgogne Blanc Retour des Flandres 2016,France,Bourgogne,Régnard,3.6,20.65,2016
Sauvignon Blanc 2019,France,Pays d'Oc,Paul Mas,3.7,5.5,2019
Freundstück GG 2017,Germany,Pfalz,Georg Mosbacher,4.1,28.24,2017
Riesling 2019,Germany,Pfalz,Schneider,3.6,10.3,2019
The Vine in Flames Fetească Regală Dry 2018,Romania,Dealu Mare,Budureasca,3.5,9.9,2018
Graacher Himmelreich Riesling Auslese 2016,Germany,Graach,Joh. Jos. Prüm,4.1,32.65,2016
Pinot Grigio 2019,Italy,Venezia Giulia,Jermann,3.8,16.85,2019
Höllberg Riesling GG 2017,Germany,Rheinhessen,Wagner-Stempel,4.0,37.56,2017
Riesling 2017,Germany,Mosel,Heymann-Löwenstein,3.5,37.0,2017
Kirchberg 2017,Germany,Mosel,Heymann-Löwenstein,3.8,24.0,2017
Geheimrat J Riesling Spätlese Trocken 2015,Germany,Rheingau,Weingüter Wegeler,4.1,24.9,2015
Merus Sauvignon Blanc 2019,Italy,Trentino,Tiefenbrunner,4.1,9.99,2019
Forster Ungeheuer Riesling 2018,Germany,Pfalz,Von Winning,4.3,35.0,2018
Bourgogne Hautes Côtes de Beaune Blanc 2007,France,Bourgogne Hautes-Côtes de Beaune,Jayer Gilles,3.4,25.0,2007
Sommer Riesling Trocken 2019,Germany,Rheingau,Schloss Vollrads,3.8,7.9,2019
Lagar de Darei Branco 2017,Portugal,Dão,Darei,3.7,8.77,2017
Chenin Blanc 2018,South Africa,Stellenbosch,Rainbow's End,3.6,8.9,2018
Lugana Blanc 2019,Italy,Lugana,Ca' Lojera,3.9,10.57,2019
Bèru 2015,Italy,Vermentino di Gallura,Siddura,3.9,34.9,2015
Cà del Lago Lugana 2019,Italy,Lugana,Villabella,4.0,9.83,2019
Weissburgunder Trocken 2019,Germany,Pfalz,Weingut Metzger,3.8,8.5,2019
Hard 2017,Germany,Baden,Ziereisen,4.3,26.5,2017
Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Tramin,3.8,9.73,2019
RS Grauburgunder 2017,Germany,Baden,Salwey,3.9,15.5,2017
Lugana 2019,Italy,Lugana,Roveglia,4.1,11.9,2019
Würzburger Stein Silvaner GG 2016,Germany,Franken,Juliusspital,4.0,29.9,2016
Grüner Silvaner Trocken 2018,Germany,Rheinhessen,Knewitz,3.6,8.07,2018
Chardonnay 2018,Austria,Mittelburgenland,Gesellmann,3.5,15.9,2018
Blanco 2019,Portugal,Vinho Verde,Escudo Real,3.4,5.71,2019
Garganega - Chardonnay delle Venezie Cuvée 2018,Italy,delle Venezie,Cielo e Terra,3.4,4.38,2018
7 Terroirs 2019,Germany,Nahe,Gut Hermannsberg,3.8,11.6,2019
Bianco Passivento 2019,Italy,Terre Siciliane,Barone Montalto,3.9,8.32,2019
Weissburgunder Trocken 2017,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.4,9.72,2017
Faius 2016,Italy,Irpinia,I Capitani,3.9,15.69,2016
Paradies Riesling 2018,Germany,Nahe,Korrell,4.1,22.7,2018
Bernkasteler Badstube Riesling Kabinett Feinherb 2015,Germany,Mosel,Markus Molitor,3.9,16.95,2015
Reserva Chardonnay 2016,Portugal,Lisboa,Quinta do Lagar Novo,3.8,13.65,2016
Collage Grauer Burgunder 2018,Germany,Pfalz,Hammel & Cie,3.9,9.46,2018
Franciscus Grüner Veltliner 2016,Austria,Kremstal,Salomon Undhof,3.2,10.23,2016
Ungeheuer Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.2,34.12,2018
Riesling Federspiel Himmelstiege 2019,Austria,Wachau,Domäne Wachau,3.4,9.85,2019
Kastanienbusch GG 2018,Germany,Pfalz,Ökonomierat Rebholz,4.2,66.31,2018
Limne 2019,Italy,Lugana,Roveglia,3.7,9.11,2019
Riesling 2017,France,Alsace,Albert Boxler,3.9,27.78,2017
Grüner Veltliner 2019,Austria,Kamptal,Loimer,3.9,9.44,2019
Chardonnay 2018,France,Pays d'Oc,Abbotts & Delaunay,3.7,6.73,2018
Verdicchio Dei Castelli Di Jesi Classico Le Vele 2019,Italy,Verdicchio dei Castelli di Jesi,Moncaro,3.7,6.32,2019
Chinon Blanc 2017,France,Chinon,Château de Saint Louans,4.2,27.29,2017
Rotenberg GG 2016,Germany,Nahe,Gut Hermannsberg,4.0,29.5,2016
Chardonnay 2017,United States,California,American Wings,3.2,6.73,2017
Diel de Diel Weisses Cuvée Trocken 2017,Germany,Nahe,Diel,3.6,11.95,2017
Vermentino (Etichetta Nera/Black Label) 2019,Italy,Colli di Luni,Lvnae,4.0,19.45,2019
Riesling Alsace Grand Cru 'Geisberg' 2012,France,Alsace Grand Cru 'Geisberg',Trimbach,4.4,53.35,2012
Sankt Nikolaus Riesling Trocken 2017,Germany,Rheingau,Peter Jakob Kühn,4.3,42.89,2017
Nachts Sind Alle Burgunder Grau 2019,Germany,Pfalz,Karl Pfaffmann,4.2,7.9,2019
Sauvignon Blanc 2018,South Africa,Stellenbosch,Drostdy-Hof,3.0,7.79,2018
Chardonnay 2019,South Africa,Durbanville,Durbanville Hills,3.5,7.99,2019
Neuland Grüner Veltliner 2019,Austria,Weinviertel,Herbert Zillinger,3.7,8.24,2019
Grauburgunder 2019,Germany,Rheinhessen,Krämer - Straight,3.9,7.73,2019
Sauvignon Stern 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.9,12.18,2018
Les Chays Condrieu 2015,France,Condrieu,Chirat,4.0,41.43,2015
Weissburgunder Trocken 2018,Germany,Pfalz,Studier,3.8,7.64,2018
Saumur Blanc 2018,France,Saumur,Langlois-Chateau,3.7,11.16,2018
Cellar Selection Chenin Blanc 2019,South Africa,Stellenbosch,Kleine Zalze,3.8,7.5,2019
Pinot Grigio 2019,Italy,Garda,La Prendina,3.7,10.96,2019
Hipping Riesling 2015,Germany,Rheinhessen,Kühling-Gillot,4.3,45.0,2015
Grauburgunder Trocken 2018,Germany,Nahe,Dönnhoff,3.6,12.57,2018
Sciare di Est Insolia 2017,Italy,Terre Siciliane,Antichi Vinai,3.6,7.42,2017
Bourgogne Aligoté 2018,France,Bourgogne Aligoté,Louis Jadot,3.5,12.6,2018
Le Chardonnay Limoux Blanc 2014,France,Limoux,Domaine de Baron'arques,3.8,37.82,2014
Vernaccia di San Gimignano 2018,Italy,Vernaccia di San Gimignano,Palagetto,3.5,8.5,2018
Aulerde Riesling GG 2018,Germany,Rheinhessen,Wittmann,4.1,36.0,2018
Maximin Herrenberg 1896 Riesling Alte Reben 2014,Germany,Mosel,Carl Loewen,3.9,47.99,2014
Berger Baron Bordeaux Blanc 2017,France,Bordeaux,Baron Philippe de Rothschild,3.1,8.72,2017
Trittenheimer Apotheke Riesling Trocken 2018,Germany,Mosel,Ansgar Clüsserath,4.0,25.83,2018
Pian di Rèmole Bianco 2018,Italy,Toscana,Frescobaldi,3.6,6.95,2018
Bouquet Terre Siciliane 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.6,10.57,2018
Chardonnay 2018,United States,North Coast,Ghost Pines,3.8,13.47,2018
Cococciola (Unico) 2019,Italy,Terre di Chieti,Tenuta Ulisse,3.8,8.9,2019
Ried Loibenberg Riesling Smaragd 2018,Austria,Wachau,F.X. Pichler,4.3,40.19,2018
Riesling Feinherb 2018,Germany,Rheingau,Schloss Vollrads,3.5,9.5,2018
Meursault-Genevrières Premier Cru 2013,France,Meursault 1er Cru 'Genevrières',Domaine Jean Monnier & Fils,4.0,95.36,2013
Niederberg Helden Riesling Kabinett 2018,Germany,Mosel,Schloss Lieser,3.9,17.1,2018
Sonnenberg Chardonnay Trocken 2018,Germany,Pfalz,Jülg,4.0,17.5,2018
Pinot Grigio Veneto 2019,Italy,Veneto,Vivolo di Sasso,3.4,5.29,2019
Oestricher Doosberg Alte Reben Riesling Trocken 2017,Germany,Rheingau,Spreitzer,3.9,16.9,2017
Poggio Al Tufo Vermentino 2018,Italy,Toscana,Tommasi,3.4,15.05,2018
Kaisermantel Weissburgunder 2019,Germany,Baden,Dr. Koehler,4.1,6.25,2019
Uvam Pinot Grigio 2019,Italy,delle Venezie,Maurizio B Martino MBM,3.7,5.25,2019
Kalkundkiesel 2019,Austria,Burgenland,Claus Preisinger,3.9,16.08,2019
Riverpoint Vineyard Gewürztraminer 2014,New Zealand,Gisborne,Millton,3.9,17.45,2014
Langenmorgen G.C 2014,Germany,Pfalz,Dr. Bürklin-Wolf,4.1,70.0,2014
Côtes du Rhône Le Caillou Blanc 2017,France,Côtes-du-Rhône,Clos du Caillou,3.4,10.9,2017
Sauvignon Blanc (Warrelwind) 2019,South Africa,Western Cape,MAN,3.6,5.49,2019
Fundament Riesling Trocken 2017,Germany,Pfalz,Wageck-Pfaffmann,3.2,8.56,2017
Viognier 2017,South Africa,Paarl,Fairview,3.4,15.98,2017
Parapli Chardonnay 2015,Hungary,Balaton,Kristinus,3.7,13.6,2015
Benedete Ribolla Gialla 2018,Italy,Veneto,Collavini,3.5,13.6,2018
Königsbacher Ölberg Riesling 2018,Germany,Pfalz,A. Christmann,3.6,25.35,2018
Cuvée Bérengère Chardonnay - Viognier 2018,France,Coteaux-d'Ensérune,Regismont,3.5,6.12,2018
Chardonnay 2017,Italy,Friuli Grave,Borgo Magredo,3.4,8.78,2017
GG Kirchberg Weissburgunder 2015,Germany,Baden,Salwey,4.3,35.0,2015
Clos Boucher Condrieu 2017,France,Condrieu,Delas,4.1,58.39,2017
Chiara 2018,Italy,Toscana,Poggio Al Sole,3.6,10.47,2018
