Name,Country,Region,Winery,Rating,Price,Year
Cava Stars Brut Nature 2016,Spain,Cava,Castillo Perelada,3.7,12.59,2016
Jaume Codorníu Gran Reserva Cava 2013,Spain,Cava,Codorníu,4.1,44.99,2013
Bolla Ciao Alta Langa Brut 2013,Italy,Alta Langa,Fontanafredda,3.7,21.53,2013
Special Club Grands Terroirs de Chardonnay Champagne 2010,France,Champagne,Pierre Gimonnet & Fils,4.2,52.0,2010
Kaapse Vonkel Brut Rosé 2018,South Africa,Stellenbosch,Simonsig,3.7,12.57,2018
Rare Brut Champagne (Millesimé) 2006,France,Champagne,Piper-Heidsieck,4.4,144.05,2006
Moncucco Moscato d'Asti 2016,Italy,Moscato d'Asti,Fontanafredda,4.1,17.09,2016
N.P.U Brut Champagne (Nec Plus Ultra) 2002,France,Champagne,Bruno Paillard,4.6,174.97,2002
James Bond 007 Brut Champagne 2011,France,Champagne,Bollinger,4.5,167.66,2011
Blanc de Blancs Brut Champagne Grand Cru 2006,France,Champagne Grand Cru,Bonnaire,4.0,42.79,2006
Brut Reserve 2014,United Kingdom,Kent,Gusbourne,4.1,53.51,2014
Vittorio Moretti 2006,Italy,Franciacorta,Bellavista,4.3,114.17,2006
Vittorio Moretti 2011,Italy,Franciacorta,Bellavista,4.3,89.0,2011
Cava Tresor Reserva Brut 2014,Spain,Cava,Pere Ventura,3.5,12.95,2014
Spécial Club Brut Champagne Premier Cru 2015,France,Champagne Premier Cru,Marc Hébrart,4.2,49.9,2015
La Grande Année Brut Champagne 2012,France,Champagne,Bollinger,4.6,119.0,2012
Moxxe Pinot Grigio - Verduzzo 2018,Italy,Valpolicella,Masi,3.7,14.99,2018
Contessa Maggi Riserva 2007,Italy,Franciacorta,Montenisa,4.2,47.0,2007
Prosecco Conegliano Valdobbiadene Superiore Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Cecilia Beretta,3.8,13.01,2018
Special Club Brut Champagne Grand Cru 'Bouzy' 2008,France,Champagne Grand Cru 'Bouzy',Paul Bara,4.2,58.0,2008
Cava Stars Brut Nature 2015,Spain,Cava,Castillo Perelada,3.7,10.6,2015
Cuvée Joséphine Brut Champagne 2008,France,Champagne,Joseph Perrier,4.4,88.9,2008
Cuvée Prestige Millésimé Brut Champagne 2012,France,Champagne,J.M. Gobillard & Fils,4.1,34.8,2012
'Giulio Ferrari' Riserva del Fondatore 2008,Italy,Trento,Ferrari,4.4,87.5,2008
Cuvée Annamaria Clementi (Extra Brut) 2010,Italy,Franciacorta,Ca' del Bosco,4.5,88.9,2010
Brut Zero 2012,South Africa,Robertson,Graham Beck,3.8,25.5,2012
Spumante 2012,Italy,Lambrusco di Sorbara,Cantina della Volta,3.8,28.7,2012
Leonia Brut Millesimato Pomino 2015,Italy,Pomino,Castello Pomino,3.9,30.19,2015
Dom Ruinart Rosé Brut Champagne 2004,France,Champagne,Ruinart,4.6,259.0,2004
Lightly Sparkling - Sauvignon Blanc 2018,New Zealand,Marlborough,Villa Maria,4.2,11.08,2018
Blanc de Blancs 2014,United Kingdom,Kent,Gusbourne,4.1,57.51,2014
Giustino B. Valdobbiadene Prosecco Superiore 2018,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,4.1,19.99,2018
Cava Reserva Brut Milesimé 2015,Spain,Cava,Juvé & Camps,4.0,24.5,2015
Moscato d'Asti 2016,Italy,Moscato d'Asti,Ruffino,4.2,13.15,2016
N.P.U Brut Champagne (Nec Plus Ultra) 1999,France,Champagne,Bruno Paillard,4.5,184.23,1999
Les Fumées Blanches Sauvignon Blanc Sparkling (Pétillant) 2018,France,Vin de France,François Lurton,3.7,7.45,2018
Franciacorta Satèn 2014,Italy,Franciacorta,Bellavista,4.1,57.28,2014
Brut Nature Champagne (Philippe Starck) 2012,France,Champagne,Louis Roederer,4.1,79.9,2012
Cava Reserva Brut Cinta Purpura 2016,Spain,Cava,Juvé & Camps,3.8,12.95,2016
Franciacorta Saten Brut 2015,Italy,Franciacorta,Ferghettina,4.0,38.7,2015
Femme de Champagne 1996,France,Champagne,Duval-Leroy,4.5,239.7,1996
Cristal Brut Champagne (Millésimé) 2012,France,Champagne,Louis Roederer,4.5,205.84,2012
‘61 Franciacorta Brut 1961,Italy,Lombardia,Berlucchi,3.9,17.95,1961
Terre de Vertus Champagne Premier Cru 2013,France,Champagne Premier Cru,Larmandier-Bernier,4.2,58.39,2013
Dom Ruinart Blanc de Blancs Brut Champagne 2007,France,Champagne,Ruinart,4.5,169.0,2007
Millésime Brut Collection Mémoire Champagne Grand Cru 'Aÿ' 2008,France,Champagne Grand Cru 'Aÿ',Lallier,4.3,69.36,2008
Vendemmia Brut 2012,Italy,Franciacorta,Bellavista,4.1,39.0,2012
Brut Champagne (Cuvée Royale) 2008,France,Champagne,Joseph Perrier,4.0,46.5,2008
Saphir Saumur Brut Vintage 2017,France,Saumur,Bouvet-Ladubay,3.5,11.65,2017
Rosé Brut Champagne 2012,France,Champagne,Deutz,4.1,55.89,2012
Moscato d'Asti 2019,Italy,Moscato d'Asti,G.D. Vajra,3.9,15.2,2019
Blanc de Blancs Brut Champagne 2007,France,Champagne,Deutz,4.2,74.9,2007
Cabochon Brut 2008,Italy,Franciacorta,Monte Rossa,4.2,99.0,2008
Assemblage Brut Champagne 2008,France,Champagne,Bruno Paillard,4.3,68.19,2008
